tspan,Temperature
27-May-2022 01:00:00,287.5627
27-May-2022 02:00:00,287.1496
27-May-2022 03:00:00,286.8358
27-May-2022 04:00:00,286.4814
27-May-2022 05:00:00,286.2781
27-May-2022 06:00:00,286.2625
27-May-2022 07:00:00,286.55
27-May-2022 08:00:00,287.3653
27-May-2022 09:00:00,288.7527
27-May-2022 10:00:00,290.2259
27-May-2022 11:00:00,291.5781
27-May-2022 12:00:00,292.5685
27-May-2022 13:00:00,293.2122
27-May-2022 14:00:00,293.6851
27-May-2022 15:00:00,293.7103
27-May-2022 16:00:00,293.6796
27-May-2022 17:00:00,293.362
27-May-2022 18:00:00,292.7792
27-May-2022 19:00:00,292.0338
27-May-2022 20:00:00,291.2144
27-May-2022 21:00:00,290.3731
27-May-2022 22:00:00,289.6334
27-May-2022 23:00:00,288.9404
28-May-2022 00:00:00,288.3279
28-May-2022 01:00:00,287.8185
28-May-2022 02:00:00,287.3788
28-May-2022 03:00:00,287.1034
28-May-2022 04:00:00,286.8559
28-May-2022 05:00:00,286.6479
28-May-2022 06:00:00,286.6087
28-May-2022 07:00:00,286.8568
28-May-2022 08:00:00,287.6495
28-May-2022 09:00:00,288.6987
28-May-2022 10:00:00,290.0732
28-May-2022 11:00:00,291.3886
28-May-2022 12:00:00,292.2415
28-May-2022 13:00:00,292.8366
28-May-2022 14:00:00,293.2035
28-May-2022 15:00:00,293.1614
28-May-2022 16:00:00,293.0635
28-May-2022 17:00:00,292.788
28-May-2022 18:00:00,292.2607
28-May-2022 19:00:00,291.5724
28-May-2022 20:00:00,290.8447
28-May-2022 21:00:00,290.0163
28-May-2022 22:00:00,289.2758
28-May-2022 23:00:00,288.669
29-May-2022 00:00:00,288.2354
29-May-2022 01:00:00,287.8296
29-May-2022 02:00:00,287.5248
29-May-2022 03:00:00,287.2875
29-May-2022 04:00:00,287.084
29-May-2022 05:00:00,287.0186
29-May-2022 06:00:00,286.9507
29-May-2022 07:00:00,287.2032
29-May-2022 08:00:00,287.8925
29-May-2022 09:00:00,289.0406
29-May-2022 10:00:00,290.4091
29-May-2022 11:00:00,291.6226
29-May-2022 12:00:00,292.6361
29-May-2022 13:00:00,293.3535
29-May-2022 14:00:00,293.8105
29-May-2022 15:00:00,294.0082
29-May-2022 16:00:00,293.9641
29-May-2022 17:00:00,293.7726
29-May-2022 18:00:00,293.3188
29-May-2022 19:00:00,292.4763
29-May-2022 20:00:00,291.5761
29-May-2022 21:00:00,290.704
29-May-2022 22:00:00,289.7725
29-May-2022 23:00:00,288.9667
30-May-2022 00:00:00,288.3651
30-May-2022 01:00:00,287.943
30-May-2022 02:00:00,287.4277
30-May-2022 03:00:00,287.2476
30-May-2022 04:00:00,286.9377
30-May-2022 05:00:00,286.8079
30-May-2022 06:00:00,286.7725
30-May-2022 07:00:00,287.1897
30-May-2022 08:00:00,288.0546
30-May-2022 09:00:00,289.2685
30-May-2022 10:00:00,290.8079
30-May-2022 11:00:00,292.3541
30-May-2022 12:00:00,293.6132
30-May-2022 13:00:00,294.4866
30-May-2022 14:00:00,294.8869
30-May-2022 15:00:00,294.9229
30-May-2022 16:00:00,294.8134
30-May-2022 17:00:00,294.3
30-May-2022 18:00:00,293.6226
30-May-2022 19:00:00,292.8618
30-May-2022 20:00:00,291.94
30-May-2022 21:00:00,290.911
30-May-2022 22:00:00,290.0822
30-May-2022 23:00:00,289.3477
31-May-2022 00:00:00,288.7897
31-May-2022 01:00:00,288.4609
31-May-2022 02:00:00,288.0899
31-May-2022 03:00:00,287.9516
31-May-2022 04:00:00,287.7759
31-May-2022 05:00:00,287.6134
31-May-2022 06:00:00,287.6994
31-May-2022 07:00:00,288.0704
31-May-2022 08:00:00,288.9198
31-May-2022 09:00:00,290.3793
31-May-2022 10:00:00,292.0862
31-May-2022 11:00:00,293.7573
31-May-2022 12:00:00,295.1161
31-May-2022 13:00:00,296.0257
31-May-2022 14:00:00,296.7084
31-May-2022 15:00:00,296.8285
31-May-2022 16:00:00,296.7175
31-May-2022 17:00:00,296.3383
31-May-2022 18:00:00,295.5271
31-May-2022 19:00:00,294.6187
31-May-2022 20:00:00,293.6583
31-May-2022 21:00:00,292.6124
31-May-2022 22:00:00,291.7891
31-May-2022 23:00:00,291.1856
01-Jun-2022 00:00:00,290.7468
01-Jun-2022 01:00:00,290.4084
01-Jun-2022 02:00:00,290.1836
01-Jun-2022 03:00:00,290.0222
01-Jun-2022 04:00:00,289.8015
01-Jun-2022 05:00:00,289.6343
01-Jun-2022 06:00:00,289.5961
01-Jun-2022 07:00:00,289.8978
01-Jun-2022 08:00:00,290.5182
01-Jun-2022 09:00:00,291.5597
01-Jun-2022 10:00:00,292.8373
01-Jun-2022 11:00:00,294.0073
01-Jun-2022 12:00:00,295.1579
01-Jun-2022 13:00:00,295.7101
01-Jun-2022 14:00:00,295.914
01-Jun-2022 15:00:00,295.7212
01-Jun-2022 16:00:00,295.1953
01-Jun-2022 17:00:00,294.4782
01-Jun-2022 18:00:00,293.6523
01-Jun-2022 19:00:00,292.8448
01-Jun-2022 20:00:00,292.2756
01-Jun-2022 21:00:00,291.5776
01-Jun-2022 22:00:00,291.15
01-Jun-2022 23:00:00,290.6967
02-Jun-2022 00:00:00,290.4716
02-Jun-2022 01:00:00,290.1538
02-Jun-2022 02:00:00,289.8871
02-Jun-2022 03:00:00,289.6364
02-Jun-2022 04:00:00,289.4065
02-Jun-2022 05:00:00,289.2104
02-Jun-2022 06:00:00,289.1414
02-Jun-2022 07:00:00,289.1454
02-Jun-2022 08:00:00,289.3738
02-Jun-2022 09:00:00,289.7134
02-Jun-2022 10:00:00,289.9766
02-Jun-2022 11:00:00,290.2551
02-Jun-2022 12:00:00,290.4586
02-Jun-2022 13:00:00,290.4684
02-Jun-2022 14:00:00,290.5554
02-Jun-2022 15:00:00,290.3475
02-Jun-2022 16:00:00,290.2225
02-Jun-2022 17:00:00,289.8936
02-Jun-2022 18:00:00,289.5806
02-Jun-2022 19:00:00,289.3716
02-Jun-2022 20:00:00,288.9733
02-Jun-2022 21:00:00,288.6472
02-Jun-2022 22:00:00,288.2798
02-Jun-2022 23:00:00,287.9168
03-Jun-2022 00:00:00,287.8104
